Texto,Subcategoria
Dones contra testosterona digital,Noticias Genéricas Mobile
Un Mobile més femení i jove,Noticias Genéricas Mobile
Crece el 80% el número de turistas en Barcelona alojados con Airbnb durante la feria de móviles,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
La feria de móviles deja 450 millones en la economía de Barcelona,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
Barcelona vuelve a palpitar con el Mobile,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
La avaricia y el saco,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
Las últimas plazas de hotel alcanzan los 4.400 euros por noche,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
El Mobile World Congress deixa l'Sporting sense hotel a Barcelona,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
El transporte público se preparar para recibir a más de 100.000 congresistas del MWC,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
El MWC tanca amb 88.500 visitants i preveu 350 milions d'euros d'impacte econòmic,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
La potència econòmica de l'MWC,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
Empleo para grandes eventos,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
Creix el 80% de turistes a Barcelona allotjats amb AirBnB durant la fira de mòbils,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
La fira de mòbils deixa 450 millons a la economia de Barcelona,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
Barcelona torna a bategar amb el Mobile,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
L'avaricia i la bossa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
Les últmes places d'hotel arriben als 4.400 euros la nit,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
El Mobile World Congress deja al Sporting sin hotel en Barcelona,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
El transport públic es prepara per rebre a més de 100.000 congressistes del MWC,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
El MWC cierra con 88.500 visitantes y prevé 350 millones de euros de impacto económico,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
La potencia económica del MWC,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
Ocupació per a grans esdeveniments,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)"
Multas a los coches oficiales durante el Mobile World Congress,Impacto social (delincuencia etc)
Menys activitat delictiva durant el Mobile d'aquest any,Impacto social (delincuencia etc)
"Descienden un 67% los robos con violencia en esta edición del MWC, según Mossos",Impacto social (delincuencia etc)
L'Hospitalet también es la capital del MWC,Impacto social (delincuencia etc)
La Urbana maltrata a los chóferes del Mobile World Congress,Impacto social (delincuencia etc)
Balanç policial del MWC: 14 arrestats i 94 delictes,Impacto social (delincuencia etc)
Els Mossos han detingut 27 persones i han registrat 59 delictes durant el Mobile World Congress,Impacto social (delincuencia etc)
La policia investiga si un vianant està implicat en el xoc entre els dos busos de la Diagonal,Impacto social (delincuencia etc)
BCN y las empresas tecnológicas se unen contra la brecha digital,Impacto social (delincuencia etc)
Multes als cotxes oficials durant el Mobile World Congress,Impacto social (delincuencia etc)
Menos actividad deliciva durante el Mobile de este año,Impacto social (delincuencia etc)
"Baixa un 67% dels robatoris amb violència en aquesta edició del MWC, segons els Mossos",Impacto social (delincuencia etc)
L'Hospitalet també és la capital del MWC,Impacto social (delincuencia etc)
L'Urbana maltracta als xofers del Mobile World Congress,Impacto social (delincuencia etc)
Balance policial del MWC: 14 arrestados y 94 delitos,Impacto social (delincuencia etc)
Los Mossos han detenido 27 personas y han registrado 59 delitos durante el Mobile World Congress,Impacto social (delincuencia etc)
La policia investiga si un viandante está implicado en el choque entre los dos bueses de la Diagonal,Impacto social (delincuencia etc)
BCN y les empreses tecnològiques s'uneixen contra l'escletxa digital,Impacto social (delincuencia etc)
Marca españa venderá BCN en el mundo al margen del ayuntamiento,Impacto social (delincuencia etc)
"BCN, fábrica de Apps",Impacto social (delincuencia etc)
Colapso viario en el segundo día del MWC,Impacto social (delincuencia etc)
La movilidad funciona en tren y en metro pero pincha en coche,Impacto social (delincuencia etc)
"Jimmy Wales: La respuesta a Uber no debe ser 'prohibir', sino 'competencia'",Impacto social (delincuencia etc)
"Barcelona, capital mundial de la literatura infantil i juvenil",Impacto social (delincuencia etc)
Más de 6.000 universitarios de EEUU traen su fiesta a BCN,Impacto social (delincuencia etc)
Marca espanya vendrà BCN al món al marge de l'ajuntament,Impacto social (delincuencia etc)
"BCN, fàbrica d'apps",Impacto social (delincuencia etc)
Colpase viari en el segon dia del MWC,Impacto social (delincuencia etc)
"La mobilitat funciona en tren i en metro, però punxa en el cotxe",Impacto social (delincuencia etc)
"Jimmy Wales: La resposta a Uber no ha de ser ""prohibir"", sinó ""competència""",Impacto social (delincuencia etc)
"Barcelona, capital mundial de la literatura infantil y juvenil",Impacto social (delincuencia etc)
Més de 6.000 universitaris dels EUA porten la seva festa a BCN,Impacto social (delincuencia etc)
"Sense ficció' retrata a los jueces, y nuevos hallazgos en 'Bajo sospecha'",Impacto social (delincuencia etc)
Luis Tosar vuelve a protagonizar la campaña de Damm,Impacto social (delincuencia etc)
"Sense ficció' retrata als jutges i noves troballes a ""sota sospita""",Impacto social (delincuencia etc)
Luís Tosar torna a portagonitzar la campanya de Damm,Impacto social (delincuencia etc)
