Texto,Categoria,Subcategoria,Sentimiento,Autor
Colau plantará a Felipe VI en la recepción oficial para la MWC,Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Negativo,
Alcatel obre la porta del MWC presentant tres noves sèries de producte,Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Positivo,
Colau rebutja retre homenatge al Rei,Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Positivo,
Un alt càrrec del Gobern no anirà al Mobile en protesta pel Rei,Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Negativo,
"Mark Zuckerberg cenará este martes con su pareja, Gerard Piqué y Shakiera en el restaurante Petit Comitè de Barcelona",Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Neutro,
Zuckerberg connecta amb Shakira i Piqué,Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Positivo,
Google trabaja en llevar internet a tood el mundo con globos y aviones,Mobile World Congress operativa,Charlas y otros eventos desarrollados en la propia Mobile,Positivo,
Bienvenidos al mundo Beta,Mobile World Congress operativa,Charlas y otros eventos desarrollados en la propia Mobile,Positivo,
Tendencias tecnologógicas y actividades en el Mobile World Congress (MWC2015),Mobile World Congress operativa,Charlas y otros eventos desarrollados en la propia Mobile,Neutro,
El 4YFN acaba consolidado como plataforma global de 'start-ups',Mobile World Congress operativa,Charlas y otros eventos desarrollados en la propia Mobile,Positivo,
El sector de las 'start-ups' despunta cuatro años después del 4YFN,Mobile World Congress operativa,Charlas y otros eventos desarrollados en la propia Mobile,Positivo,
"Volem connectar l'altra meitat del planeta, la conferència de Zuckerberg al MWC, en 8 frases",Mobile World Congress operativa,Charlas y otros eventos desarrollados en la propia Mobile,Neutro,
Google treballa per portar internet a tot el món amb globus i avions,Mobile World Congress operativa,Charlas y otros eventos desarrollados en la propia Mobile,Positivo,
Benvinguts al món Beta,Mobile World Congress operativa,Charlas y otros eventos desarrollados en la propia Mobile,Positivo,
Tendències tecnológiques i activitats en el Mobile World Congress (MWC2015),Mobile World Congress operativa,Charlas y otros eventos desarrollados en la propia Mobile,Neutro,
El 4YFN acaba consolidat com plataforma global d'start-ups,Mobile World Congress operativa,Charlas y otros eventos desarrollados en la propia Mobile,Positivo,
"Queremos conectar con la otra mitad del planeta, la conferencia de Zuckerberg en el MWC, en 8 frases",Mobile World Congress operativa,Charlas y otros eventos desarrollados en la propia Mobile,Neutro,
MWC: la cita de la tecnología móvil,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
Los móviles estrella de la Mobile,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
Qui controla que es mengi bé al Mobile World Congress?,Mobile World Congress operativa,Noticias Genéricas Mobile,Neutro,
Las claves de la feria del móvil,Mobile World Congress operativa,Noticias Genéricas Mobile,Neutro,
Tegnología en masculí,Mobile World Congress operativa,Noticias Genéricas Mobile,Neutro,
Renée Jiménez: La feria de móviles no es solo para hombres,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
Muchas universidades dan asignaturas que no tienen ninguna utilidad futura,Mobile World Congress operativa,Noticias Genéricas Mobile,Negativo,
Beatriz de York habla del empoderamiento femenino en su viaje a Barcelona,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
Cae hasta el 23% la participación de mujeres en el Mobile World Congress,Mobile World Congress operativa,Noticias Genéricas Mobile,Negativo,
Mobile Women Congress,Mobile World Congress operativa,Noticias Genéricas Mobile,Neutro,
Un Mobile más femenino y joven,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
Más dinero que ideas,Mobile World Congress operativa,Noticias Genéricas Mobile,Neutro,
Una visió del Mobile World Congress,Mobile World Congress operativa,Noticias Genéricas Mobile,Neutro,
Las mujeres piden más poder de decisión sobre la tecnología,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
Barcelona da la bienvenida al Mobile World Congress,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
Mujeres contra testosterona digital,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
MWC: la cita de la tecnologia mòbil,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
Els mòbils estrella de la Mobile,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
¿Quién controla que se coma bien en la Mobile World Congress?,Mobile World Congress operativa,Noticias Genéricas Mobile,Neutro,
Les claus de la fira del mòbil,Mobile World Congress operativa,Noticias Genéricas Mobile,Neutro,
Tecnología en masculino,Mobile World Congress operativa,Noticias Genéricas Mobile,Neutro,
Renée Jiménez: La fira de mòbils no és només per a homes,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
Moltes universitats donen asignatures que no tenen cap utilitat futura,Mobile World Congress operativa,Noticias Genéricas Mobile,Negativo,
Beatriu de York parla de l'empoderament femení al seu viatge a Barcelona,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
Cau fins el 23% la participació de les dones al Mobile World Congress,Mobile World Congress operativa,Noticias Genéricas Mobile,Negativo,
Més diners que idees,Mobile World Congress operativa,Noticias Genéricas Mobile,Neutro,
Les dones demanen més poder de decisió sobre la tecnologia,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
Barcelona dona la benvinguda al Mobile World Congress,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
Dones contra testosterona digital,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
Un Mobile més femení i jove,Mobile World Congress operativa,Noticias Genéricas Mobile,Positivo,
Crece el 80% el número de turistas en Barcelona alojados con Airbnb durante la feria de móviles,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Neutro,
La feria de móviles deja 450 millones en la economía de Barcelona,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Positivo,
Barcelona vuelve a palpitar con el Mobile,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Positivo,
La avaricia y el saco,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Negativo,
Las últimas plazas de hotel alcanzan los 4.400 euros por noche,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Neutro,
El Mobile World Congress deixa l'Sporting sense hotel a Barcelona,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Negativo,
El transporte público se preparar para recibir a más de 100.000 congresistas del MWC,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Neutro,
El MWC tanca amb 88.500 visitants i preveu 350 milions d'euros d'impacte econòmic,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Neutro,
La potència econòmica de l'MWC,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Positivo,
Empleo para grandes eventos,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Neutro,
Creix el 80% de turistes a Barcelona allotjats amb AirBnB durant la fira de mòbils,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Neutro,
La fira de mòbils deixa 450 millons a la economia de Barcelona,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Positivo,
Barcelona torna a bategar amb el Mobile,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Positivo,
L'avaricia i la bossa,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Negativo,
Les últmes places d'hotel arriben als 4.400 euros la nit,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Neutro,
El Mobile World Congress deja al Sporting sin hotel en Barcelona,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Negativo,
El transport públic es prepara per rebre a més de 100.000 congressistes del MWC,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Neutro,
El MWC cierra con 88.500 visitantes y prevé 350 millones de euros de impacto económico,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Neutro,
La potencia económica del MWC,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Positivo,
Ocupació per a grans esdeveniments,Mobile World Congress operativa,"Impacto económico en Barcelona (empleo, aumento de vuelos etc)",Neutro,
Multas a los coches oficiales durante el Mobile World Congress,Mobile World Congress operativa,Impacto social (delincuencia etc),Neutro,
Menys activitat delictiva durant el Mobile d'aquest any,Mobile World Congress operativa,Impacto social (delincuencia etc),Positivo,
"Descienden un 67% los robos con violencia en esta edición del MWC, según Mossos",Mobile World Congress operativa,Impacto social (delincuencia etc),Positivo,
L'Hospitalet también es la capital del MWC,Mobile World Congress operativa,Impacto social (delincuencia etc),Positivo,
La Urbana maltrata a los chóferes del Mobile World Congress,Mobile World Congress operativa,Impacto social (delincuencia etc),Negativo,
Balanç policial del MWC: 14 arrestats i 94 delictes,Mobile World Congress operativa,Impacto social (delincuencia etc),Negativo,
Els Mossos han detingut 27 persones i han registrat 59 delictes durant el Mobile World Congress,Mobile World Congress operativa,Impacto social (delincuencia etc),Negativo,
La policia investiga si un vianant està implicat en el xoc entre els dos busos de la Diagonal,Mobile World Congress operativa,Impacto social (delincuencia etc),Negativo,
BCN y las empresas tecnológicas se unen contra la brecha digital,Mobile World Congress operativa,Impacto social (delincuencia etc),Positivo,
Multes als cotxes oficials durant el Mobile World Congress,Mobile World Congress operativa,Impacto social (delincuencia etc),Neutro,
Menos actividad deliciva durante el Mobile de este año,Mobile World Congress operativa,Impacto social (delincuencia etc),Positivo,
"Baixa un 67% dels robatoris amb violència en aquesta edició del MWC, segons els Mossos",Mobile World Congress operativa,Impacto social (delincuencia etc),Positivo,
L'Hospitalet també és la capital del MWC,Mobile World Congress operativa,Impacto social (delincuencia etc),Positivo,
L'Urbana maltracta als xofers del Mobile World Congress,Mobile World Congress operativa,Impacto social (delincuencia etc),Negativo,
Balance policial del MWC: 14 arrestados y 94 delitos,Mobile World Congress operativa,Impacto social (delincuencia etc),Negativo,
Los Mossos han detenido 27 personas y han registrado 59 delitos durante el Mobile World Congress,Mobile World Congress operativa,Impacto social (delincuencia etc),Negativo,
La policia investiga si un viandante está implicado en el choque entre los dos bueses de la Diagonal,Mobile World Congress operativa,Impacto social (delincuencia etc),Negativo,
BCN y les empreses tecnològiques s'uneixen contra l'escletxa digital,Mobile World Congress operativa,Impacto social (delincuencia etc),Positivo,
Marca españa venderá BCN en el mundo al margen del ayuntamiento,Ciudad No Mobile,Impacto social (delincuencia etc),Neutro,
"BCN, fábrica de Apps",Ciudad No Mobile,Impacto social (delincuencia etc),Positivo,
Colapso viario en el segundo día del MWC,Ciudad No Mobile,Impacto social (delincuencia etc),Negativo,
La movilidad funciona en tren y en metro pero pincha en coche,Ciudad No Mobile,Impacto social (delincuencia etc),Negativo,
"Jimmy Wales: La respuesta a Uber no debe ser 'prohibir', sino 'competencia'",Ciudad No Mobile,Impacto social (delincuencia etc),Neutro,
"Barcelona, capital mundial de la literatura infantil i juvenil",Ciudad No Mobile,Impacto social (delincuencia etc),Positivo,
Más de 6.000 universitarios de EEUU traen su fiesta a BCN,Ciudad No Mobile,Impacto social (delincuencia etc),Negativo,
Marca espanya vendrà BCN al món al marge de l'ajuntament,Ciudad No Mobile,Impacto social (delincuencia etc),Neutro,
"BCN, fàbrica d'apps",Ciudad No Mobile,Impacto social (delincuencia etc),Positivo,
Colpase viari en el segon dia del MWC,Ciudad No Mobile,Impacto social (delincuencia etc),Negativo,
"La mobilitat funciona en tren i en metro, però punxa en el cotxe",Ciudad No Mobile,Impacto social (delincuencia etc),Negativo,
"Jimmy Wales: La resposta a Uber no ha de ser ""prohibir"", sinó ""competència""",Ciudad No Mobile,Impacto social (delincuencia etc),Neutro,
"Barcelona, capital mundial de la literatura infantil y juvenil",Ciudad No Mobile,Impacto social (delincuencia etc),Positivo,
Més de 6.000 universitaris dels EUA porten la seva festa a BCN,Ciudad No Mobile,Impacto social (delincuencia etc),Negativo,
"Sense ficció' retrata a los jueces, y nuevos hallazgos en 'Bajo sospecha'",Otros,Impacto social (delincuencia etc),Neutro,
Luis Tosar vuelve a protagonizar la campaña de Damm,Otros,Impacto social (delincuencia etc),Neutro,
"Sense ficció' retrata als jutges i noves troballes a ""sota sospita""",Otros,Impacto social (delincuencia etc),Neutro,
Luís Tosar torna a portagonitzar la campanya de Damm,Otros,Impacto social (delincuencia etc),Neutro,
